borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,timestamp,latitude,longitude,location,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
,Aggressive Driving/Road Rage,Unspecified,,,,,2019-10-29T22:48:00,,,,0,0,1,0,0,0,1,0,,THROGS NECK BRIDGE              ,4234414,Sedan,Sedan,,,,
,Unsafe Speed,Unspecified,,,,,2019-10-13T04:00:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,4230063,Taxi,Sedan,,,,
,Backing Unsafely,Unspecified,,,,HORACE HARDING EXPRESSWAY,2019-10-12T18:00:00,,,,0,0,0,0,0,0,0,0,,SPRINGFIELD BOULEVARD           ,4221975,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Glare,Unspecified,,,,CONNER STREET,2019-09-23T13:00:00,,,,0,0,0,0,0,0,0,0,,TILLOTSON AVENUE                ,4211631,Taxi,Sedan,,,,
,Other Vehicular,Unspecified,,,,,2019-09-15T12:43:00,,,,0,0,0,0,0,0,0,0,546       Gulf avenue                   ,,4205939,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Driver Inattention/Distraction,,,,,,2022-05-21T07:30:00,,,,0,0,0,0,0,0,0,0,,CROSS ISLAND PARKWAY,4529641,Station Wagon/Sport Utility Vehicle,,,,,
,Unspecified,,,,,,2022-04-15T23:05:00,,,,0,0,0,0,0,0,0,0,,NASSAU EXPRESSWAY,4519404,Station Wagon/Sport Utility Vehicle,,,,,
,Following Too Closely,Unspecified,,,,VETERANS ROAD WEST,2022-04-06T21:00:00,,,,0,0,1,0,0,0,1,0,,ARTHUR KILL ROAD,4520830,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,,,,,35 AVENUE,2022-04-25T12:58:00,,,,0,0,0,0,0,0,0,0,,FRANCIS LEWIS BOULEVARD,4524666,Sedan,,,,,
,Pavement Slippery,,,,,DELANCEY STREET,2022-05-02T11:45:00,,,,0,0,0,0,0,0,0,0,,WILLIAMSBURG BRIDGE,4524094,Sedan,,,,,
,Following Too Closely,Unspecified,,,,,2022-05-10T05:00:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE,4526328,Station Wagon/Sport Utility Vehicle,,,,,
,Driver Inexperience,Unspecified,,,,COZINE AVENUE,2022-05-10T16:35:00,,,,0,0,2,0,0,0,2,0,,AUTUMN AVENUE,4526579,Sedan,Sedan,,,,
,Unspecified,Unspecified,Unspecified,,,,2022-05-15T09:22:00,,,,0,0,2,0,0,0,2,0,,WEST 47 STREET,4527792,Sedan,Sedan,Sedan,,,
,Following Too Closely,Unspecified,,,,,2022-05-18T07:20:00,,,,0,0,1,0,0,0,1,0,,HORACE HARDING EXPRESSWAY,4529020,Sedan,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2019-09-09T20:35:00,,,,0,0,2,0,0,0,2,0,,VERRAZANO BRIDGE UPPER          ,4203950,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Lost Consciousness,Unspecified,,,,ATLANTIC AVENUE,2019-08-17T18:00:00,,,,0,0,0,0,0,0,0,0,,VANWYCK EXPRESSWAY              ,4193404,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Driver Inattention/Distraction,Unspecified,,,PELHAM PARKWAY NORTH,2019-09-04T14:00:00,,,,0,0,3,0,0,0,3,0,,WILLIAMSBRIDGE ROAD             ,4201269,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
,Following Too Closely,Unspecified,,,,OCEAN PARKWAY,2019-08-09T11:30:00,,,,0,0,0,0,0,0,0,0,,SHORE PARKWAY                   ,4185999,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Unspecified,,,,,2019-07-28T22:40:00,,,,0,0,0,0,0,0,0,0,,VERRAZANO BRIDGE LOWER          ,4180439,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Other Vehicular,,,,EAST 6 STREET,2019-07-24T20:05:00,,,,1,0,0,0,0,0,1,0,,COOPER SQUARE                   ,4177375,Taxi,Bike,,,,
,Unsafe Lane Changing,Unspecified,,,,,2019-06-26T18:27:00,,,,0,0,0,0,0,0,0,0,,TRIBOROUGH BRIDGE               ,4159980,Sedan,Sedan,,,,
,Following Too Closely,Unspecified,,,,East 11th road,2019-07-03T04:17:00,,,,0,0,1,0,0,0,1,0,,CROSS BAY BOULEVARD             ,4163912,Station Wagon/Sport Utility Vehicle,Taxi,,,,
,Oversized Vehicle,Driver Inattention/Distraction,,,,,2019-06-22T15:00:00,,,,0,0,0,0,0,0,0,0,,BELT PARKWAY RAMP               ,4157235,Box Truck,Sedan,,,,
,Following Too Closely,Unspecified,Unspecified,,,,2019-04-06T11:10:00,,,,0,0,0,0,0,0,0,0,,VERRAZANO BRIDGE UPPER          ,4111092,Sedan,Sedan,Sedan,,,
,Following Too Closely,Unspecified,,,,,2019-06-17T08:00:00,,,,0,0,0,0,0,0,0,0,,GOWANUS RAMP                    ,4153159,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,
,Unspecified,Unspecified,,,,,2019-05-29T18:29:00,,,,0,0,0,0,0,0,0,0,,ROSEDALE AVENUE                 ,4141621,Tractor Truck Diesel,Tractor Truck Diesel,,,,
,Turning Improperly,Unspecified,,,,168 STREET,2019-05-07T12:00:00,,,,0,0,0,0,0,0,0,0,,GRAND CENTRAL PARKWAY           ,4127460,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Backing Unsafely,Unspecified,,,,,2019-05-10T09:30:00,,,,0,0,0,0,0,0,0,0,,48 STREET                       ,4130371,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2019-04-03T17:00:00,,,,0,0,0,0,0,0,0,0,,ALEXANDER HAMILTON BRIDGE       ,4110511,Sedan,Sedan,,,,
,Unspecified,,,,,78 AVENUE,2019-02-17T14:45:00,,,,0,0,0,0,0,0,0,0,,141 STREET                      ,4082750,Station Wagon/Sport Utility Vehicle,,,,,
,Following Too Closely,Following Too Closely,Following Too Closely,Unspecified,,,2019-02-24T11:45:00,,,,0,0,6,0,0,0,6,0,,BROOKLYN QUEENS EXPRESSWAY RAMP ,4085912,Box Truck,Box Truck,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
,Driver Inattention/Distraction,Unspecified,,,,LINDEN BOULEVARD,2019-02-11T07:45:00,,,,0,0,0,0,0,0,0,0,,AVENUE D                        ,4080000,Sedan,Bus,,,,
,Unsafe Speed,,,,,SILVERLAKE PARK,2019-02-11T13:40:00,,,,0,0,0,0,0,0,0,0,,SILVERLAKE PARK ROAD            ,4086277,Sedan,,,,,
,Unspecified,,,,,SHORE PARKWAY,2019-01-05T13:00:00,,,,0,0,0,0,0,0,0,0,,KNAPP STREET                    ,4062737,Sedan,,,,,
,Following Too Closely,Unspecified,,,,,2019-01-27T14:50:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN BRIDGE                 ,4073296,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,,,,VANWYCK EXPRESSWAY,2018-12-20T22:40:00,,,,0,0,1,0,0,0,1,0,,ROCKAWAY BOULEVARD              ,4050151,Sedan,Sedan,,,,
,Unsafe Speed,,,,,,2018-12-31T13:00:00,,,,0,0,0,0,0,0,0,0,,LONG ISLAND EXPRESSWAY          ,4055258,Station Wagon/Sport Utility Vehicle,,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,PELHAM PARKWAY,2018-12-12T07:53:00,,,,0,0,1,0,0,0,1,0,,EASTCHESTER ROAD                ,4043420,Sedan,Sedan,,,,
,Unspecified,Unspecified,,,,,2018-10-29T15:15:00,,,,1,0,0,0,0,0,1,0,71        WEST DRIVE                    ,,4010502,Bike,Golf Cart,,,,
,Unspecified,Unspecified,,,,BROOKVILLE BOULEVARD,2018-10-28T18:00:00,,,,0,0,1,0,0,0,1,0,,ROCKAWAY BOULEVARD              ,4010320,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,,2018-09-22T19:30:00,,,,0,0,2,0,0,0,2,0,,THROGS NECK EXPY                ,3985749,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2018-10-07T22:45:00,,,,0,0,2,0,0,0,2,0,,VERRAZANO BRIDGE LOWER          ,3996630,Sedan,Sedan,,,,
,Unsafe Lane Changing,Unsafe Lane Changing,,,,GRAND ARMY PLAZA,2018-10-04T14:50:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,3993854,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,PARSONS BOULEVARD,2018-10-05T23:55:00,,,,0,0,0,0,0,0,0,0,,GRAND CENTRAL PARKWAY           ,3994429,Pick-up Truck,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2018-09-27T14:00:00,,,,0,0,1,0,0,0,1,0,,STATEN ISLAND EXPRESSWAY        ,3989637,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
,Driver Inexperience,Unspecified,,,,,2018-09-07T18:19:00,,,,0,0,0,0,0,0,0,0,,MACOMBS DAM BRIDGE              ,3982134,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,150 STREET,2018-08-08T09:30:00,,,,0,0,0,0,0,0,0,0,,CROSS ISLAND PARKWAY            ,3957221,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,
,Turning Improperly,Unspecified,,,,HARDING EXPRESSWAY,2018-08-14T17:32:00,,,,0,0,0,0,0,0,0,0,,FRANCIS LEWIS BOULEVARD         ,3961119,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2018-08-14T19:20:00,,,,0,0,0,0,0,0,0,0,,AMBOY ROAD                      ,3961140,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,,,,HYLAN BOULEVARD,2018-07-31T19:25:00,,,,0,0,0,0,0,0,0,0,,NARROWS ROAD NORTH              ,3953917,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Reaction to Uninvolved Vehicle,Unspecified,,,,20 AVENUE,2018-07-14T10:15:00,,,,0,0,0,0,0,0,0,0,,WHITESTONE EXPRESSWAY           ,3941363,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Unspecified,Unspecified,,,,EAST 6 STREET,2018-07-26T19:00:00,,,,0,0,0,0,0,0,0,0,,COOPER SQUARE                   ,3949648,Taxi,Sedan,,,,
,Outside Car Distraction,Unspecified,,,,,2018-07-10T08:25:00,,,,0,0,0,0,0,0,0,0,,WHITESTONE EXPRESSWAY           ,3938611,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,AVENUE H,2018-05-27T05:11:00,,,,0,0,1,0,0,0,1,0,,WESTMINISTER ROAD               ,3909317,Sedan,Taxi,,,,
,Driver Inattention/Distraction,Unspecified,,,,DOUGLASTON PARKWAY,2018-05-08T14:50:00,,,,0,0,0,0,0,0,0,0,,235 STREET                      ,3899288,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,,,,,HENRY HUDSON PARKWAY,2018-04-13T23:51:00,,,,0,0,0,0,0,0,0,0,,WEST 155 STREET                 ,3882730,Station Wagon/Sport Utility Vehicle,,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2018-04-12T08:30:00,,,,0,0,0,0,0,0,0,0,,80 ROAD                         ,3879574,Sedan,,,,,
,Failure to Yield Right-of-Way,Other Vehicular,,,,MACOMBS ROAD,2018-03-11T17:50:00,,,,0,0,1,0,0,0,1,0,,FEATHERBED LANE                 ,3863500,Sedan,FDNY,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,BOWERY,2018-02-25T17:00:00,,,,0,0,0,0,0,0,0,0,,CANAL STREET                    ,3851800,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2018-02-01T17:40:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,3838958,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Alcohol Involvement,,,,,,2018-01-20T22:06:00,,,,0,0,0,0,0,0,0,0,400       west service rd               ,,3833104,Station Wagon/Sport Utility Vehicle,,,,,
,Unspecified,,,,,,2017-12-17T20:15:00,,,,0,0,0,0,0,0,0,0,,CROSS BRONX EXPY                ,3811748,Station Wagon/Sport Utility Vehicle,,,,,
,Following Too Closely,Reaction to Uninvolved Vehicle,,,,,2017-12-19T17:30:00,,,,0,0,0,0,0,0,0,0,,,3813225,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,
,Turning Improperly,Unspecified,,,,,2017-10-06T14:50:00,,,,0,0,0,0,0,0,0,0,,,3765793,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Reaction to Uninvolved Vehicle,,,,MYRTLE AVENUE,2017-11-10T01:00:00,,,,0,0,0,0,0,0,0,0,,FOREST PARK DRIVE               ,3787422,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,MAJOR DEEGAN EXPRESSWAY,2017-11-22T15:50:00,,,,0,0,0,0,0,0,0,0,,VANCORTLANDT PARK WEST          ,3822337,Pick-up Truck,Taxi,,,,
,Unspecified,,,,,88street,2017-11-23T14:34:00,,,,0,0,0,0,0,0,0,0,,roosevelt                       ,3801871,Pick-up Truck,,,,,
,Passing or Lane Usage Improper,Unspecified,,,,HORACE HARDING EXPRESSWAY,2017-10-19T17:15:00,,,,0,0,0,0,0,0,0,0,,SPRINGFIELD BOULEVARD           ,3772733,Sedan,Sedan,,,,
,Unspecified,Unspecified,,,,CITY ISLAND ROAD,2017-10-31T07:40:00,,,,0,0,0,0,0,0,0,0,,SHORE ROAD                      ,3781558,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Unspecified,Unspecified,,,,,2017-11-02T08:30:00,,,,0,0,0,0,0,0,0,0,31B       FOOD CENTER DRIVE             ,,3781951,PSR,Sedan,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,VAN WYCK SERVICE ROAD,2017-09-19T18:00:00,,,,0,0,0,0,0,0,0,0,,JEWEL AVENUE                    ,3753753,Sedan,Sedan,,,,
,Outside Car Distraction,Driver Inattention/Distraction,Unspecified,,,,2017-08-28T00:26:00,,,,0,0,0,0,0,0,0,0,,East 233 street & carpenter ave ,3740650,Sedan,Sedan,Sedan,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,QUEENSBORO BRIDGE,2017-09-18T09:28:00,,,,0,0,0,0,0,0,0,0,,QUEENS PLAZA                    ,3752641,Lift Boom,Sedan,,,,
,Following Too Closely,Unspecified,,,,DESARC ROAD,2017-09-14T16:15:00,,,,0,0,0,0,0,0,0,0,,CROSS BAY BOULEVARD             ,3750006,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2017-08-24T11:10:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE                       ,3736752,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2017-09-14T23:15:00,,,,0,0,1,0,0,0,1,0,,BROOKLYN QUEENS EXPRESSWAY      ,3750969,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Passing or Lane Usage Improper,Unspecified,,,,WILLIAMSBRIDGE ROAD,2017-09-13T14:15:00,,,,0,0,0,0,0,0,0,0,,PELHAM PARKWAY SOUTH            ,3749807,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Reaction to Uninvolved Vehicle,Unspecified,,,,,2017-08-09T13:20:00,,,,0,0,0,0,0,0,0,0,636       W EST 174 STREET              ,,3730379,Sedan,Sedan,,,,
,Passing Too Closely,Passing Too Closely,,,,WHITESTONE EXPRESSWAY,2017-08-06T00:00:00,,,,0,0,0,0,0,0,0,0,,20 AVENUE                       ,3726094,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2017-08-15T06:05:00,,,,0,0,3,0,0,0,3,0,,12 AVENUE                       ,4024639,Van,Station Wagon/Sport Utility Vehicle,,,,
,Turning Improperly,Unspecified,,,,20 AVENUE,2017-08-23T12:45:00,,,,0,0,0,0,0,0,0,0,,WHITESTONE EXPRESSWAY           ,3736243,Sedan,truck,,,,
,Passing or Lane Usage Improper,Unspecified,,,,VANWYCK EXPRESSWAY,2017-07-07T10:00:00,,,,0,0,0,0,0,0,0,0,,109 AVENUE                      ,3706798,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,,
,Passing Too Closely,Unspecified,,,,,2017-06-12T13:45:00,,,,0,0,0,0,0,0,0,0,,SHORE PARKWAY                   ,3689584,AMBUL,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,SHORE ROAD,2017-06-17T13:00:00,,,,0,0,0,0,0,0,0,0,,CITY ISLAND ROAD                ,3692713,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Unspecified,Unspecified,,,,,2017-06-17T17:25:00,,,,0,0,1,0,0,0,1,0,,PARK CIRCLE                     ,3692675,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Turning Improperly,Unspecified,,,,,2017-05-24T18:45:00,,,,0,0,0,0,0,0,0,0,,UNION SQUARE EAST               ,3677382,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2017-05-19T19:25:00,,,,0,0,0,0,0,0,0,0,,METROPOLITAN AVENUE             ,3675393,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2017-06-01T09:13:00,,,,0,0,1,0,0,0,1,0,,FDR DRIVE                       ,3682343,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,,,,,BRIELLE AVENUE,2017-06-06T15:00:00,,,,0,0,0,0,1,0,1,0,,MANOR ROAD                      ,3685347,Station Wagon/Sport Utility Vehicle,,,,,
,Unspecified,Unspecified,,,,,2017-02-02T13:50:00,,,,0,0,0,0,0,0,0,0,,PARK AVENUE                     ,3609894,Chassis Cab,Sedan,,,,
,Backing Unsafely,Unspecified,,,,LONG ISLAND EXPRESSWAY,2017-03-30T12:40:00,,,,0,0,0,0,0,0,0,0,,COLLEGE POINT BOULEVARD         ,3641906,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,
,Unspecified,,,,,BROOKVILLE BOULEVARD,2017-03-31T14:50:00,,,,0,0,0,0,0,0,0,0,,ROCKAWAY BOULEVARD              ,3644679,Station Wagon/Sport Utility Vehicle,,,,,
,Unspecified,Unspecified,,,,STILLWELL AVENUE,2017-03-31T09:19:00,,,,0,0,0,0,0,0,0,0,,PELHAM PARKWAY SOUTH            ,3642818,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Aggressive Driving/Road Rage,Unspecified,,,,QUEENS PLAZA NORTH,2017-01-18T05:55:00,,,,0,0,0,0,0,0,0,0,,JACKSON AVENUE                  ,3600154,Sedan,,,,,
,Other Vehicular,Failure to Yield Right-of-Way,,,,EAST 57 STREET,2016-11-17T18:25:00,,,,0,0,0,0,0,0,0,0,,QUEENSBORO BRIDGE               ,3562465,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,SAINT NICHOLAS TO BROADWAY,2016-10-13T10:25:00,,,,0,0,0,0,0,0,0,0,,WEST 160 STREET                 ,3539900,Sedan,Sedan,,,,
,Unspecified,,,,,PELHAM PARKWAY SOUTH,2016-10-28T09:20:00,,,,0,0,0,0,0,0,0,0,,EASTCHESTER ROAD                ,3549204,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Traffic Control Disregarded,Unspecified,Unspecified,,,HARDING EXPRESSWAY,2016-09-24T18:00:00,,,,0,0,0,0,0,0,0,0,,MARATHON PARKWAY                ,3526379,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,,
,Unspecified,Unspecified,,,,HYLAN BOULEVARD,2016-08-21T11:30:00,,,,0,0,0,0,0,0,0,0,,NARROWS ROAD SOUTH              ,3505024,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2016-09-07T17:45:00,,,,0,0,0,0,0,0,0,0,,CLEARVIEW EXPRESSWAY            ,3515669,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Unspecified,Unspecified,,,,EAST 149 STREET,2016-08-31T22:20:00,,,,0,0,1,0,0,0,1,0,,EXTERIOR STREET                 ,3511208,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,,,,,,2016-09-13T05:30:00,,,,0,0,0,0,0,0,0,0,,STATEN ISLAND EXPRESSWAY        ,3518971,Sedan,,,,,
,Unsafe Lane Changing,Aggressive Driving/Road Rage,,,,,2016-08-13T18:00:00,,,,0,0,2,0,0,0,2,0,,BROOKLYN QUEENS EXPRESSWAY RAMP ,3502649,Sedan,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2016-08-07T23:30:00,,,,0,0,0,0,0,0,0,0,,THROGS NECK BRIDGE              ,3497171,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Unsafe Speed,Unspecified,,,,WEST 20 STREET,2016-08-06T22:41:00,,,,0,0,0,0,0,0,0,0,,12 AVENUE                       ,3495309,Sedan,Sedan,,,,
,Passing or Lane Usage Improper,Unspecified,,,,,2016-07-15T13:50:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN QUEENS EXPRESSWAY RAMP ,3480569,4 dr sedan,Box Truck,,,,
,Other Vehicular,Other Vehicular,Other Vehicular,,,,2016-07-08T15:50:00,,,,0,0,1,0,0,0,1,0,,FDR DRIVE                       ,3478183,Sedan,Taxi,Sedan,,,
,Unspecified,,,,,,2016-07-23T01:24:00,,,,0,0,0,0,1,0,1,0,,LONG ISLAND EXPRESSWAY          ,3487738,Station Wagon/Sport Utility Vehicle,,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,SHORE PARKWAY,2016-06-25T18:10:00,,,,0,0,0,0,0,0,0,0,,BAY PARKWAY                     ,3468888,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,,2016-06-20T10:30:00,,,,1,0,0,0,0,0,1,0,101       EAST DRIVE                    ,,4023653,Bike,,,,,
,Reaction to Uninvolved Vehicle,Unspecified,,,,,2016-06-10T06:50:00,,,,0,0,0,0,0,0,0,0,,NASSAU EXPRESSWAY               ,3459534,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,,
,Following Too Closely,Unspecified,,,,,2016-06-27T10:00:00,,,,0,0,0,0,0,0,0,0,,LONG ISLAND EXPRESSWAY          ,3470056,Van,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Unspecified,,,,,2016-06-20T14:40:00,,,,0,0,0,0,0,0,0,0,,TRIBOROUGH BRIDGE               ,3465660,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,ATLANTIC AVENUE,2016-06-10T17:00:00,,,,0,0,0,0,0,0,0,0,,VANWYCK EXPRESSWAY              ,3460754,Refrigerated Van,4 dr sedan,,,,
,Other Vehicular,Unspecified,,,,,2016-05-16T09:55:00,,,,0,0,0,0,0,0,0,0,,BRONX WHITESTONE BRIDGE         ,3443190,Station Wagon/Sport Utility Vehicle,,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2016-05-27T13:45:00,,,,0,0,0,0,0,0,0,0,BRONX SHORE RD                          ,,3446895,Sedan,Sedan,,,,
,Unsafe Lane Changing,Unsafe Lane Changing,Unspecified,,,69 LANE,2016-05-17T18:20:00,,,,0,0,0,0,0,0,0,0,,QUEENS MIDTOWN EXPWY            ,3444132,4 dr sedan,4 dr sedan,4 dr sedan,,,
,Other Vehicular,,,,,,2016-05-04T03:45:00,,,,0,0,0,0,0,0,0,0,ROOSEVELT AVENUE                        ,,3435457,4 dr sedan,,,,,
,Driver Inattention/Distraction,Following Too Closely,,,,,2016-03-26T10:53:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE SOUTH                 ,3409771,4 dr sedan,4 dr sedan,,,,
,Passenger Distraction,Unspecified,,,,4th ave.,2016-03-21T16:15:00,,,,0,0,0,0,0,0,0,0,,,3420712,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,,
,Unspecified,Unspecified,,,,,2016-03-24T15:30:00,,,,0,0,0,0,0,0,0,0,,,3407638,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,111 STREET,2016-03-16T07:55:00,,,,0,0,0,0,0,0,0,0,,NORTHERN BOULEVARD              ,3429279,Station Wagon/Sport Utility Vehicle,Bus,,,,
,Unspecified,Unspecified,,,,WILLOW ROAD WEST                ,2016-03-12T19:15:00,,,,0,0,0,0,0,0,0,0,,FOREST AVENUE                   ,3405031,PASSENGER VEHICLE,UNKNOWN,,,,
,Fatigued/Drowsy,Unspecified,,,,,2016-02-20T18:46:00,,,,0,0,0,0,0,0,0,0,,,3392429,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,,,,,,2016-02-17T15:07:00,,,,0,0,0,0,0,0,0,0,,,3390635,SPORT UTILITY / STATION WAGON,AMBULANCE,,,,
,Driver Inattention/Distraction,Unspecified,,,,VANWYCK EXPRESSWAY              ,2016-03-01T19:15:00,,,,0,0,0,0,0,0,0,0,,ATLANTIC AVENUE                 ,3398272,PASSENGER VEHICLE,TAXI,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,SHORE PARKWAY                   ,2016-02-24T14:43:00,,,,0,0,0,0,0,0,0,0,,OCEAN PARKWAY                   ,3394189,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,MAIN STREET                     ,2016-02-28T13:10:00,,,,0,0,0,0,0,0,0,0,,QUEENS BOULEVARD                ,3396274,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,,,,,,2016-03-12T09:16:00,,,,0,0,0,0,0,0,0,0,  VAN WYCK SERVICE RD  AND 120 AVE      ,,3404957,PASSENGER VEHICLE,,,,,
,Outside Car Distraction,,,,,,2016-02-08T03:10:00,,,,0,0,2,0,0,0,2,0,,,3385926,PASSENGER VEHICLE,,,,,
,Outside Car Distraction,,,,,LAUREL HILL BOULEVARD           ,2016-02-13T04:50:00,,,,0,0,0,0,0,0,0,0,,65 PLACE                        ,3388600,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,,2016-02-17T20:00:00,,,,0,0,0,0,0,0,0,0,,,3390836,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
